Sex,Age,Location,2017,2018,2019,avg_mortality
Female,(55-59),Vratsa,53.0,48.0,38.0,46.33
Female,(55-59),Yambol,24.0,28.0,29.0,27.0
Female,(60-64),Blagoevgrad,78.0,98.0,96.0,90.67
Female,(60-64),Burgas,139.0,137.0,149.0,141.67
Female,(60-64),Dobrich,75.0,71.0,65.0,70.33
Female,(60-64),Gabrovo,42.0,55.0,33.0,43.33
Female,(60-64),Haskovo,94.0,75.0,82.0,83.67
Female,(60-64),Kardzhali,46.0,38.0,49.0,44.33
Female,(60-64),Kyustendil,49.0,53.0,55.0,52.33
Female,(60-64),Lovech,50.0,60.0,49.0,53.0
Female,(60-64),Montana,57.0,50.0,61.0,56.0
Female,(60-64),Pazardzhik,104.0,115.0,117.0,112.0
Female,(60-64),Pernik,60.0,51.0,54.0,55.0
Female,(60-64),Pleven,106.0,98.0,80.0,94.67
Female,(60-64),Plovdiv,225.0,212.0,199.0,212.0
Female,(60-64),Razgrad,61.0,42.0,44.0,49.0
Female,(60-64),Ruse,75.0,92.0,85.0,84.0
Female,(60-64),Shumen,75.0,70.0,56.0,67.0
Female,(60-64),Silistra,45.0,50.0,45.0,46.67
Female,(60-64),Sliven,97.0,66.0,68.0,77.0
Female,(60-64),Smolyan,39.0,43.0,42.0,41.33
Female,(60-64),Sofia,78.0,93.0,86.0,85.67
Female,(60-64),Sofia (stolitsa),423.0,434.0,393.0,416.67
Female,(60-64),Stara Zagora,108.0,130.0,125.0,121.0
Female,(60-64),Targovishte,39.0,39.0,51.0,43.0
Female,(60-64),Varna,157.0,158.0,147.0,154.0
Female,(60-64),Veliko Tarnovo,100.0,101.0,88.0,96.33
Female,(60-64),Vidin,49.0,34.0,43.0,42.0
Female,(60-64),Vratsa,84.0,80.0,68.0,77.33
Female,(60-64),Yambol,50.0,45.0,40.0,45.0
Female,(65-69),Blagoevgrad,125.0,137.0,129.0,130.33
Female,(65-69),Burgas,216.0,213.0,209.0,212.67
Female,(65-69),Dobrich,105.0,121.0,101.0,109.0
Female,(65-69),Gabrovo,88.0,68.0,85.0,80.33
Female,(65-69),Haskovo,129.0,131.0,127.0,129.0
Female,(65-69),Kardzhali,68.0,64.0,68.0,66.67
Female,(65-69),Kyustendil,81.0,85.0,63.0,76.33
Female,(65-69),Lovech,69.0,101.0,87.0,85.67
Female,(65-69),Montana,95.0,104.0,102.0,100.33
