Location,Sex,Age,avg_mortality,avg_population,Interval,M_x,a_x,q_x,p_x,l(x),dx,Lx,Tx,e(x)
Blagoevgrad,Total,(55-59),225.33,23037.67,5,0.009780937047887222,0.5,0.04773739412257831,0.9522626058774217,91774.04070212225,4381.053551218749,447917.56963256444,2221877.519818993,24.21
Blagoevgrad,Total,(60-64),303.33,21673.67,5,0.013995322435009854,0.5,0.06761101721001632,0.9323889827899837,87392.9871509035,5908.72875829447,422193.1138587813,1773959.9501864284,20.3
Blagoevgrad,Total,(65-69),412.0,19268.33,5,0.02138223706984466,0.5,0.10148618137551216,0.8985138186244879,81484.25839260903,8269.526226481423,386747.4763968416,1351766.836327647,16.59
Blagoevgrad,Total,(70-74),478.67,15290.67,5,0.031304710650350835,0.5,0.14516285065909643,0.8548371493409036,73214.73216612761,10628.059231477324,339503.5127519447,965019.3599308055,13.18
Blagoevgrad,Total,(75-79),606.0,11307.33,5,0.05359355391591118,0.5,0.23630650591585148,0.7636934940841485,62586.67293465028,14789.637998085396,275959.2696780379,625515.8471788608,9.99
Blagoevgrad,Total,(80-84),719.0,7960.0,5,0.09032663316582915,0.5,0.3684345375352293,0.6315654624647706,47797.03493656489,17610.078462408484,194959.97852680326,349556.57750082284,7.31
Blagoevgrad,Total,(85-89),601.0,3930.67,5,0.15290014170612135,0.5,0.5530841111174508,0.4469158888825492,30186.956474156403,16695.925988849973,109194.9673986571,154596.59897401958,5.12
Blagoevgrad,Total,(90+),344.0,1157.67,9,0.2971485829295049,0.5,1.0,0.0,13491.030485306432,13491.030485306432,45401.631575362495,45401.631575362495,3.37
Burgas,Female,(0-4),11.0,9840.0,5,0.0011178861788617887,0.5,0.005573853559665569,0.9944261464403344,100000.0,557.3853559665586,498606.53661008354,7891952.618245639,78.92
Burgas,Female,(5-9),1.33,10647.33,5,0.000124913945561939,0.5,0.0006243747450274186,0.9993756252549726,99442.61464403344,62.089457163223415,497057.84957725916,7393346.081635555,74.35
Burgas,Female,(10-14),1.67,10703.33,5,0.00015602620866590115,0.5,0.000779826859758646,0.9992201731402414,99380.52518687022,77.49960287763679,496708.87692715693,6896288.232058296,69.39
Burgas,Female,(15-19),4.0,9441.0,5,0.00042368393178688696,0.5,0.002116178182202941,0.9978838218177971,99303.02558399258,210.1428961675847,495989.77067954396,6399579.355131139,64.44
