Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021,Mean/Expected_Mortality,STANDARD_DEVIATION,Z-Score(95%),Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,Excess_mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Варна,Аврен,Female,91.0,90.0,79.0,84.0,82.0,77.0,111.0,85.2,4.6,1.96,4.0,81.2,89.2,-8.2,-9.6,4.1,85.2 (±4.0),-8.2 (±4.0),-9.6% (±4.1%)
Варна,Аврен,Male,90.0,107.0,102.0,102.0,83.0,127.0,140.0,96.8,8.9,1.96,7.8,89.0,104.6,30.2,31.2,9.8,96.8 (±7.8),30.2 (±7.8),31.2% (±9.8%)
Варна,Аврен,Total,181.0,197.0,181.0,186.0,165.0,204.0,251.0,182.0,10.3,1.96,9.0,173.0,191.0,22.0,12.1,5.3,182.0 (±9.0),22.0 (±9.0),12.1% (±5.3%)
Варна,Аксаково,Female,156.0,143.0,191.0,138.0,133.0,185.0,212.0,152.2,20.9,1.96,18.3,133.89999999999998,170.5,32.8,21.6,13.1,152.2 (±18.3),32.8 (±18.3),21.6% (±13.1%)
Варна,Аксаково,Male,151.0,185.0,202.0,201.0,172.0,215.0,252.0,182.2,19.1,1.96,16.7,165.5,198.89999999999998,32.8,18.0,9.9,182.2 (±16.7),32.8 (±16.7),18.0% (±9.9%)
Варна,Аксаково,Total,307.0,328.0,393.0,339.0,305.0,400.0,464.0,334.4,32.0,1.96,28.0,306.4,362.4,65.6,19.6,9.2,334.4 (±28.0),65.6 (±28.0),19.6% (±9.2%)
Варна,Белослав,Female,69.0,54.0,78.0,69.0,80.0,85.0,107.0,70.0,9.2,1.96,8.1,61.9,78.1,15.0,21.4,12.6,70.0 (±8.1),15.0 (±8.1),21.4% (±12.6%)
Варна,Белослав,Male,95.0,91.0,76.0,108.0,81.0,97.0,112.0,90.2,11.2,1.96,9.8,80.4,100.0,6.8,7.5,10.5,90.2 (±9.8),6.8 (±9.8),7.5% (±10.5%)
Варна,Белослав,Total,164.0,145.0,154.0,177.0,161.0,182.0,219.0,160.2,10.6,1.96,9.3,150.89999999999998,169.5,21.8,13.6,6.2,160.2 (±9.3),21.8 (±9.3),13.6% (±6.2%)
Варна,Бяла,Female,38.0,34.0,33.0,30.0,35.0,39.0,41.0,34.0,2.6,1.96,2.3,31.7,36.3,5.0,14.7,7.3,34.0 (±2.3),5.0 (±2.3),14.7% (±7.3%)
