Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021
Враца,Враца,Male,553.0,534.0,516.0,548.0,593.0,633.0,815.0
Враца,Враца,Total,1062.0,1017.0,1044.0,1041.0,1103.0,1153.0,1579.0
Враца,Козлодуй,Female,143.0,146.0,158.0,144.0,161.0,162.0,181.0
Враца,Козлодуй,Male,166.0,141.0,157.0,150.0,593.0,191.0,213.0
Враца,Козлодуй,Total,309.0,287.0,315.0,294.0,306.0,353.0,394.0
Враца,Криводол,Female,134.0,109.0,141.0,133.0,105.0,110.0,128.0
Враца,Криводол,Male,146.0,128.0,152.0,130.0,136.0,145.0,167.0
Враца,Криводол,Total,280.0,237.0,293.0,263.0,241.0,255.0,295.0
Враца,Мездра,Female,173.0,207.0,190.0,198.0,178.0,215.0,255.0
Враца,Мездра,Male,203.0,199.0,224.0,213.0,221.0,245.0,289.0
Враца,Мездра,Total,376.0,406.0,414.0,411.0,399.0,460.0,544.0
Враца,Мизия,Female,79.0,64.0,76.0,79.0,70.0,69.0,90.0
Враца,Мизия,Male,78.0,80.0,95.0,79.0,77.0,87.0,96.0
Враца,Мизия,Total,157.0,144.0,171.0,158.0,147.0,156.0,186.0
Враца,Оряхово,Female,127.0,129.0,112.0,123.0,106.0,125.0,153.0
Враца,Оряхово,Male,157.0,127.0,126.0,120.0,119.0,138.0,147.0
Враца,Оряхово,Total,284.0,256.0,238.0,243.0,225.0,263.0,300.0
Враца,Роман,Female,68.0,76.0,73.0,73.0,48.0,62.0,73.0
Враца,Роман,Male,77.0,80.0,68.0,70.0,79.0,84.0,106.0
Враца,Роман,Total,145.0,156.0,141.0,143.0,127.0,146.0,179.0
Враца,Хайредин,Female,86.0,73.0,72.0,45.0,69.0,69.0,82.0
Враца,Хайредин,Male,83.0,73.0,62.0,65.0,73.0,62.0,82.0
Враца,Хайредин,Total,169.0,146.0,134.0,110.0,142.0,131.0,164.0
Габрово,Габрово,Female,516.0,538.0,559.0,519.0,523.0,573.0,770.0
Габрово,Габрово,Male,563.0,541.0,585.0,561.0,538.0,623.0,671.0
Габрово,Габрово,Total,1079.0,1079.0,1144.0,1080.0,1061.0,1196.0,1441.0
Габрово,Дряново,Female,90.0,111.0,120.0,94.0,87.0,151.0,129.0
Габрово,Дряново,Male,105.0,102.0,106.0,116.0,89.0,127.0,148.0
Габрово,Дряново,Total,195.0,213.0,226.0,210.0,176.0,278.0,277.0
Габрово,Севлиево,Female,354.0,328.0,391.0,349.0,320.0,380.0,441.0
Габрово,Севлиево,Male,373.0,364.0,349.0,340.0,329.0,392.0,479.0
Габрово,Севлиево,Total,727.0,692.0,740.0,689.0,649.0,772.0,920.0
Габрово,Трявна,Female,104.0,86.0,115.0,102.0,106.0,135.0,156.0
Габрово,Трявна,Male,129.0,99.0,102.0,103.0,122.0,163.0,121.0
Габрово,Трявна,Total,233.0,185.0,217.0,205.0,228.0,298.0,277.0
Добрич,Балчик,Female,166.0,152.0,130.0,139.0,144.0,160.0,198.0
Добрич,Балчик,Male,186.0,187.0,183.0,181.0,189.0,205.0,229.0
Добрич,Балчик,Total,352.0,339.0,313.0,320.0,333.0,365.0,427.0
Добрич,Генерал Тошево,Female,152.0,141.0,137.0,115.0,155.0,143.0,166.0
Добрич,Генерал Тошево,Male,168.0,169.0,144.0,166.0,156.0,157.0,197.0
Добрич,Генерал Тошево,Total,320.0,310.0,281.0,281.0,311.0,300.0,363.0
Добрич,Добрич,Female,514.0,468.0,537.0,596.0,534.0,623.0,795.0
Добрич,Добрич,Male,593.0,590.0,614.0,585.0,646.0,750.0,894.0
