Location,Age,Sex,2017,2018,2019,avg_population
Varna,(15-19),Total,21275.0,21605.0,21525.0,21468.33
Varna,(20-24),Female,10404.0,10127.0,10105.0,10212.0
Varna,(20-24),Male,11632.0,11371.0,11412.0,11471.67
Varna,(20-24),Total,22036.0,21498.0,21517.0,21683.67
Varna,(25-29),Female,15662.0,14643.0,13554.0,14619.67
Varna,(25-29),Male,16327.0,15367.0,14321.0,15338.33
Varna,(25-29),Total,31989.0,30010.0,27875.0,29958.0
Varna,(30-34),Female,17804.0,17711.0,17494.0,17669.67
Varna,(30-34),Male,17953.0,17834.0,17635.0,17807.33
Varna,(30-34),Total,35757.0,35545.0,35129.0,35477.0
Varna,(35-39),Female,18042.0,17741.0,17548.0,17777.0
Varna,(35-39),Male,19007.0,18674.0,18358.0,18679.67
Varna,(35-39),Total,37049.0,36415.0,35906.0,36456.67
Varna,(40-44),Female,19946.0,19933.0,19470.0,19783.0
Varna,(40-44),Male,21072.0,20998.0,20429.0,20833.0
Varna,(40-44),Total,41018.0,40931.0,39899.0,40616.0
Varna,(45-49),Female,17130.0,17579.0,18352.0,17687.0
Varna,(45-49),Male,18254.0,18439.0,18927.0,18540.0
Varna,(45-49),Total,35384.0,36018.0,37279.0,36227.0
Varna,(5-9),Female,12297.0,12047.0,11648.0,11997.33
Varna,(5-9),Male,13077.0,12760.0,12499.0,12778.67
Varna,(5-9),Total,25374.0,24807.0,24147.0,24776.0
Varna,(50-54),Female,14531.0,14911.0,15204.0,14882.0
Varna,(50-54),Male,14529.0,15041.0,15606.0,15058.67
Varna,(50-54),Total,29060.0,29952.0,30810.0,29940.67
Varna,(55-59),Female,15019.0,14993.0,14947.0,14986.33
Varna,(55-59),Male,14267.0,14242.0,14173.0,14227.33
Varna,(55-59),Total,29286.0,29235.0,29120.0,29213.67
Varna,(60-64),Female,16249.0,15764.0,15453.0,15822.0
Varna,(60-64),Male,13884.0,13670.0,13446.0,13666.67
Varna,(60-64),Total,30133.0,29434.0,28899.0,29488.67
Varna,(65-69),Female,16286.0,16272.0,16140.0,16232.67
Varna,(65-69),Male,12806.0,12715.0,12644.0,12721.67
Varna,(65-69),Total,29092.0,28987.0,28784.0,28954.33
Varna,(70-74),Female,13642.0,14262.0,14863.0,14255.67
Varna,(70-74),Male,9862.0,10155.0,10464.0,10160.33
Varna,(70-74),Total,23504.0,24417.0,25327.0,24416.0
Varna,(75-79),Female,9567.0,9903.0,10268.0,9912.67
Varna,(75-79),Male,6362.0,6525.0,6764.0,6550.33
Varna,(75-79),Total,15929.0,16428.0,17032.0,16463.0
Varna,(80-84),Female,7415.0,7229.0,7047.0,7230.33
Varna,(80-84),Male,3973.0,3936.0,3884.0,3931.0
Varna,(80-84),Total,11388.0,11165.0,10931.0,11161.33
